hs1	1309110	1310875
hs1	1337288	1342693
hs1	1407143	1433228
hs1	1447531	1470067
hs1	1682671	1711896
hs1	1853396	1935276
hs1	2336236	2345236
hs1	2517930	2522908
hs1	6324333	6454451
hs1	6694228	6761984
hs1	8014351	8045565
hs1	9294863	9331396
hs1	9599541	9642831
hs1	10270764	10441661
hs1	10532345	10690815
hs1	11845780	11866977
hs1	12040238	12073571
hs1	15898848	15911605
hs1	16062900	16067891
hs1	16340523	16346089
hs1	17345217	17380665
hs1	19197926	19229275
hs1	19630459	19638640
hs1	19923477	19956314
hs1	20301925	20306932
hs1	20825943	20834654
hs1	20959948	20978004
hs1	21835858	21904905
hs1	24018269	24022915
hs1	24128375	24165110
hs1	24171567	24194784
hs1	25071848	25170815
hs1	27276053	27286897
hs1	28562620	28573417
hs1	29519385	29557454
hs1	31838472	31849697
hs1	32687529	32697205
hs1	32712834	32714457
hs1	33473585	33546597
hs1	35178338	35325417
hs1	36921319	36930038
hs1	38326369	38412729
hs1	39328636	39347289
hs1	39491990	39500308
hs1	40235195	40237020
hs1	40306708	40349183
hs1	40538379	40563375
hs1	45316450	45452282
hs1	45792545	45794347
hs1	45794835	45806142
hs1	45965725	45976739
hs1	45976708	45988719
hs1	46769303	46782448
hs1	47098409	47139539
hs1	47799469	47844511
hs1	52254863	52344477
hs1	52373628	52456436
hs1	53392901	53517375
hs1	53662101	53679869
hs1	53878821	53905693
hs1	54649714	54686603
hs1	55007930	55104865
hs1	55222571	55230187
hs1	55315300	55352921
hs1	55532032	55681039
hs1	58881056	59012474
hs1	64058916	64125916
hs1	65613232	65697828
hs1	70726271	70820417
hs1	70876901	70905534
hs1	76190036	76253260
hs1	84964008	84972248
hs1	85784168	86044046
hs1	87170259	87213867
hs1	89401456	89458636
hs1	94883933	94984222
hs1	97543299	98386605
hs1	100315640	100389579
hs1	100659634	100715390
hs1	108676658	108743471
hs1	109756540	109780791
hs1	109941653	109969062
hs1	110943871	110950564
hs1	111991486	112005395
hs1	113243728	113250056
hs1	113245236	113258099
hs1	113454469	113499635
hs1	116915290	116952883
hs1	119573839	119683294
hs1	119911402	119936753
hs1	119957554	119965658
hs1	120049821	120057681
hs1	120202421	120286838
hs1	120290619	120311528
hs1	145413095	145417545
hs1	145516252	145523730
hs1	145726918	145764074
hs1	147119170	147142618
hs1	149858486	149872351
hs1	150266289	150281414
hs1	150459887	150480078
hs1	150480538	150486265
hs1	150547032	150552073
hs1	151227179	151239955
hs1	151372010	151374420
hs1	151732119	151736040
hs1	151742583	151763892
hs1	151818220	151826173
hs1	151846060	151882284
hs1	152850793	152857523
hs1	153746830	153752633
hs1	154244987	154248351
hs1	154934774	154946871
hs1	155178490	155183614
hs1	155204239	155214653
hs1	155278539	155290457
hs1	155657751	155708803
hs1	156024543	156028301
hs1	156163880	156182587
hs1	156561542	156564091
hs1	156707095	156711382
hs1	160007257	160040038
